country,name,full_name,tag,id,symbol,currency,class,market
argentina,S&P Merval,S&P Merval,merv,13376,MERV,ARS,major_indices,world_indices
argentina,BNY Mellon Argentina ADR TR,BNY Mellon Argentina ADR Total Return,bny-argentina-adr-tr,956016,BKART,USD,additional_indices,global_indices
argentina,BNY Mellon Argentina ADR,BNY Mellon Argentina ADR,bny-argentina-adr,955998,BKAR,USD,additional_indices,global_indices
argentina,S&P/BYMA Argentina General,S&P/BYMA Argentina General,ibg,13317,IBG,ARS,additional_indices,world_indices
argentina,S&P Merval Argentina,S&P Merval Argentina,mar,13374,MAR,ARS,additional_indices,world_indices
argentina,MSCI Argentina,MSCI Argentina,msci-argentina,942930,MIAR00000PUS,USD,major_indices,global_indices
australia,BNY Mellon Australia Classic ADR,BNY Mellon Australia Classic ADR,bny-australia-classic-adr,956036,BKCAU,USD,additional_indices,global_indices
australia,BNY Mellon Australia ADR TR,BNY Mellon Australia ADR Total Return,bny-australia-adr-tr,956012,BKAUT,USD,additional_indices,global_indices
australia,BNY Mellon Australia ADR,BNY Mellon Australia ADR,bny-australia-adr,955974,BKAU,USD,additional_indices,global_indices
australia,DJ Australia LPT,Dow Jones Australia LPT,dj-australia-lpt,954243,DJAULPT,AUD,additional_indices,global_indices
australia,S&P/ASX 200 Accumulated,S&P/ASX 200 Accumulated,s-p-asx-200-accumulated,951106,AXJOA,AUD,additional_indices,global_indices
australia,TR Australia 50,Thomson Reuters Australia 50,thomson-reuters-australia-50,941624,TRX50AUP,AUD,additional_indices,global_indices
australia,BNY Mellon Australia Classic ADR TR,BNY Mellon Australia Classic ADR Total Return,bny-australia-classic-adr-tr,956096,BKCAUT,USD,additional_indices,global_indices
australia,DJ Australia,Dow Jones Australia,dj-australia,954240,DJAU,AUD,major_indices,global_indices
australia,DJ Australia USD,Dow Jones Australia USD,dj-australia-usd,954199,AUDOWD,USD,major_indices,global_indices
australia,MSCI Australia AUD,MSCI Australia AUD,msci-australia-aud,951404,MSCIAU,AUD,major_indices,global_indices
australia,MSCI Australia USD,MSCI Australia USD,msci-australia-usd,951285,MIAU00000NUS,USD,major_indices,global_indices
australia,S&P/ASX Midcap 50,S&P/ASX Midcap 50,s-p-asx-midcap50,14495,AXMD,AUD,additional_indices,world_indices
australia,S&P/ASX All Australian 50,S&P/ASX All Australian 50,s-p-asx-all-australian-50,14502,AXAF,AUD,additional_indices,world_indices
australia,S&P/ASX All Australian 200,S&P/ASX All Australian 200,s-p-asx-all-australian-200,14503,AXAT,AUD,additional_indices,world_indices
australia,S&P/ASX 300,S&P/ASX 300,s-p-asx-300,14498,AXKO,AUD,additional_indices,world_indices
australia,S&P/ASX 200,S&P/ASX 200,aus-200,171,AXJO,AUD,major_indices,world_indices
australia,ASX All Ordinaries,ASX All Ordinaries,all-ordinaries,14499,AORD,AUD,additional_indices,world_indices
australia,ASX Small Ordinaries,ASX Small Ordinaries,s-p-asx-small-ord,14497,AXSO,AUD,additional_indices,world_indices
australia,S&P/ASX 100,S&P/ASX 100,s-p-asx-100,14496,ATOI,AUD,additional_indices,world_indices
australia,S&P/ASX 20,S&P/ASX 20,s-p-asx-20,14493,ATLI,AUD,additional_indices,world_indices
australia,S&P/ASX 50,S&P/ASX 50,s-p-asx-50,14494,AFLI,AUD,additional_indices,world_indices
austria,DJ Austria USD,Dow Jones Austria USD,dj-austria-usd,954198,ATDOWD,USD,major_indices,global_indices
austria,DJ Austria,Dow Jones Austria,dj-austria,954197,ATDOW,EUR,major_indices,global_indices
austria,BNY Mellon Austria Classic ADR,BNY Mellon Austria Classic ADR,bny-austria-classic-adr,956009,BKCAT,USD,additional_indices,global_indices
austria,BNY Mellon Austria Classic ADR TR,BNY Mellon Austria Classic ADR Total Return,bny-austria-classic-adr-tr,956142,BKCATT,USD,additional_indices,global_indices
austria,ATX,ATX,atx,1016254,ATX,EUR,major_indices,world_indices
austria,ATX 5,ATX 5,atx-5,49519,ATX5,EUR,additional_indices,world_indices
austria,ATX Prime,ATX Prime,atx-prime,49520,ATXPRIME,EUR,additional_indices,world_indices
austria,FTSE Austria,FTSE Austria,ftse-austria,28856,FTWIAUTE,EUR,additional_indices,world_indices
austria,Immobilien ATX EUR,Immobilien ATX EUR,immobilien---atx,49521,IATX,EUR,additional_indices,world_indices
austria,New Europe Blue Chip EUR,New Europe Blue Chip EUR,ntx,49522,NTX,EUR,additional_indices,world_indices
bahrain,Bahrain All Share,Bahrain All Share,bax,13518,BAX,BHD,major_indices,world_indices
bangladesh,DSE 30,Dhaka Stock Exchange 30,dhaka-stock-exchange-30,989440,DS30,BDT,major_indices,world_indices
bangladesh,DSE Broad,Dhaka Stock Exchange Broad,dhaka-stock-exchange-broad,989441,DSEX,BDT,additional_indices,world_indices
belgium,DJ Belgium USD,Dow Jones Belgium USD,dj-belgium-usd,954217,BEDOWD,USD,major_indices,global_indices
belgium,DJ Belgium,Dow Jones Belgium,dj-belgium,954216,BEDOW,EUR,major_indices,global_indices
belgium,MSCI Belgium,MSCI Belgium,msci-belgium,942896,MIBE00000PEU,EUR,major_indices,global_indices
belgium,BNY Belgium Classic ADR,BNY Mellon Belgium Classic ADR,bny-belgium-adr,955992,BKCBE,USD,additional_indices,global_indices
belgium,BNY Belgium Classic ADR TR,BNY Mellon Belgium Classic ADR TR,bny-belgium-adr-tr,956011,BKCBETR,USD,additional_indices,global_indices
belgium,BEL Small,BEL Small,bel-small,14837,BELS,EUR,additional_indices,world_indices
belgium,BEL 20 Net Return,BEL 20 Net Return,bel-20-private,49514,BFXP,EUR,additional_indices,world_indices
belgium,BEL 20,BEL 20,bel-20,14601,BFX,EUR,major_indices,world_indices
belgium,BEL Mid,BEL Mid,bel-mid,14836,BELM,EUR,additional_indices,world_indices
belgium,BEL 20 GR,BEL 20 Gross Return,bel-20-institutional,49513,BFXI,EUR,additional_indices,world_indices
bosnia,BIRS,BIRS,birs,945507,BIRS1,BAM,major_indices,world_indices
bosnia,Sarajevo 10,Sarajevo 10,sarajevo-10,945505,SASX10,BAM,major_indices,world_indices
bosnia,Sarajevo 30,Sarajevo 30,sarajevo-30,945506,SASX30,BAM,additional_indices,world_indices
botswana,BSE Foreign Company,BSE Foreign Company,bse-foreign-company,41116,FCIBT,BWP,additional_indices,world_indices
botswana,BSE Domestic Company,BSE Domestic Company,bse-domestic-company,41115,DCIBT,BWP,major_indices,world_indices
brazil,MSCI Brazil Net USD,MSCI Brazil Net USD,msci-brazil-net-usd,951290,MIBR00000NUS,USD,major_indices,global_indices
brazil,DJ Brazil,Dow Jones Brazil,dj-brazil,954219,BRDOW,BRL,major_indices,global_indices
brazil,TR Brazil 50,Thomson Reuters Brazil 50,thomson-reuters-brazil-50,941631,TRX50BRP,BRL,additional_indices,global_indices
brazil,MSCI Brazil Price USD,MSCI Brazil Price USD,msci-brazil-price-usd,951405,MSCIBR,USD,additional_indices,global_indices
brazil,DJ Brazil Titans 20 ADR,Dow Jones Brazil Titans 20 ADR,dj-brazil-titans-20-adr,954218,BR20,USD,additional_indices,global_indices
brazil,BNY Mellon Brazil ADR,BNY Mellon Brazil ADR,bny-brazil-adr,955977,BKBR,USD,additional_indices,global_indices
brazil,BNY Mellon Brazil ADR TR,BNY Mellon Brazil ADR Total Return,bny-brazil-adr-tr,956031,BKBRT,USD,additional_indices,global_indices
brazil,BNY Mellon Brazil Classic ADR,BNY Mellon Brazil Classic ADR,bny-brazil-classic-adr,956032,BKCBR,USD,additional_indices,global_indices
brazil,BNY Mellon Brazil Classic ADR TR,BNY Mellon Brazil Classic ADR Total Return,bny-brazil-classic-adr-tr,956131,BKCBRT,USD,additional_indices,global_indices
brazil,FTSE RAFI Brazil 50,FTSE RAFI Brazil 50,ftse-rafi-brazil-50,961437,FTFRBR5,BRL,additional_indices,global_indices
brazil,MSCI Brazil,MSCI Brazil,msci-brazil,942893,MIBR00000PUS,USD,major_indices,global_indices
brazil,Small Cap Index,Small Cap Index,small-cap-index,17925,SMLL,BRL,additional_indices,world_indices
brazil,Tag Along,Bovespa Tag Along,tag-along-index,17937,ITAG,BRL,additional_indices,world_indices
brazil,Brazil broad-Based,Brazil broad-Based,brazil-broad-based,17923,IBRA,BRL,additional_indices,world_indices
brazil,Brazil Index,Brazil Index,brazil-index,17922,IBRX,BRL,additional_indices,world_indices
brazil,Mid-Large Cap Index,Mid-Large Cap Index,mid-large-cap-index,17924,MLCX,BRL,additional_indices,world_indices
brazil,Brazil 50,Bovespa Brazil 50,brazil-index-50,17921,IBX50,BRL,additional_indices,world_indices
brazil,Bovespa,Bovespa,bovespa,17920,BVSP,BRL,major_indices,world_indices
bulgaria,BGTR30,BGTR30,bg-tr30,14773,BGTR30,BGN,additional_indices,world_indices
bulgaria,BGBX40,BGBX40,bg-40,14771,BGBX40,BGN,additional_indices,world_indices
bulgaria,BSE SOFIX,BSE SOFIX,bse-sofia,49629,SOFIX,BGN,major_indices,world_indices
canada,MSCI Canada,MSCI Canada,msci-canada,942904,MICA00000PCA,CAD,major_indices,global_indices
canada,MSCI Canada Net USD,MSCI Canada Net USD,msci-canada-net-usd,951291,MICA00000NUS,USD,major_indices,global_indices
canada,DJ Canada,Dow Jones Canada,dj-canada,954222,CADOW,CAD,major_indices,global_indices
canada,DJ Canada USD,Dow Jones Canada USD,dj-canada-usd,954223,CADOWD,USD,major_indices,global_indices
canada,TR Canada 50,Thomson Reuters Canada 50,thomson-reuters-canada-50,941629,TRX50CAP,CAD,additional_indices,global_indices
canada,S&P/TSX,S&P/TSX Composite,s-p-tsx-composite,24441,GSPTSE,CAD,major_indices,world_indices
canada,S&P/TSX 60,S&P/TSX 60,s-p-tsx-60,25282,SPTSE,CAD,additional_indices,world_indices
canada,S&P/TSX MidCap,S&P/TSX Canadian MidCap,s-p-tsx-completion,25280,SPTSEM,CAD,additional_indices,world_indices
canada,S&P/TSX Small Cap,S&P/TSX Canadian Small Cap,s-p-tsx-canadian-small-cap,25278,SPTSES,CAD,additional_indices,world_indices
canada,S&P/TSX Equity,S&P/TSX Equity,s-p-tsx-equity,25281,GSPTXEQ,CAD,additional_indices,world_indices
canada,S&P/TSX Venture,S&P/TSX Venture Composite,s-p-tsx-venture-composite,25279,SPCDNX,CAD,additional_indices,world_indices
chile,BNY Mellon Chile ADR TR,BNY Mellon Chile ADR Total Return,bny-chile-adr-tr,956083,BKCLT,USD,additional_indices,global_indices
chile,Inter 10,Inter 10,inter-10,14768,INTER10,CLP,additional_indices,world_indices
chile,S&P CLX IPSA,S&P CLX IPSA,ipsa,14767,SPIPSA,CLP,major_indices,world_indices
chile,BNY Mellon Chile ADR,BNY Mellon Chile ADR,bny-chile-adr,955971,BKCL,USD,additional_indices,global_indices
chile,S&P CLX IGPA,S&P CLX IGPA,igpa,14769,SPCLXIGPA,CLP,additional_indices,world_indices
chile,DJ Chile,Dow Jones Chile,dj-chile,954228,CLDOW,CLP,major_indices,global_indices
chile,MSCI Chile Net USD,MSCI Chile Net USD,msci-chile-net-usd,951292,MICL00000NUS,USD,major_indices,global_indices
chile,MSCI Chile,MSCI Chile,msci-chile,942903,MICL00000PUS,USD,major_indices,global_indices
chile,DJ Chile USD,Dow Jones Chile USD,dj-chile-usd,954229,CLDOWD,USD,major_indices,global_indices
china,DJ Shenzhen,Dow Jones Shenzhen,dj-shenzhen,954535,DJSZ,CNY,additional_indices,global_indices
china,DJ Shanghai,Dow Jones Shanghai,dj-shanghai,954522,DJSH,CNY,additional_indices,global_indices
china,BNY Mellon China Select ADRSM,BNY Mellon China Select ADRSM,bny-china-select-adrsm,956002,BKTCN,USD,additional_indices,global_indices
china,BNY Mellon China ADR,BNY Mellon China ADR,bny-china-adr,955966,BKCN,USD,additional_indices,global_indices
china,BNY Mellon China Classic ADR,BNY Mellon China Classic ADR,bny-china-classic-adr,956025,BKCCN,USD,additional_indices,global_indices
china,BNY Mellon China xià yī dài ADR,BNY Mellon China xià yī dài ADR,bny-china-xià-yī-dài-adr,956072,BKXYD,USD,additional_indices,global_indices
china,BNY Mellon China ADR TR,BNY Mellon China ADR Total Return,bny-china-adr-tr,956073,BKCNT,USD,additional_indices,global_indices
china,BNY Mellon China Select ADR TRSM,BNY Mellon China Select ADR Total ReturnSM,bny-china-select-adr-trsm,956110,BKTCNT,USD,additional_indices,global_indices
china,FTSE China A-H 50,FTSE China A-H 50,ftse-china-b-35,961132,FTFCAH50,USD,additional_indices,global_indices
china,FTSE China A All Share,FTSE China A All Share,ftse-china-a-all-share,961138,FTXI7,CNY,additional_indices,global_indices
china,BNY Mellon China Classic ADR TR,BNY Mellon China Classic ADR Total Return,bny-china-classic-adr-tr,956102,BKCCNT,USD,additional_indices,global_indices
china,MSCI China ex Hong Kong Net USD,MSCI China ex Hong Kong Net USD,msci-china-ex-hong-kong-net-usd,951295,MICNH0000NUS,USD,additional_indices,global_indices
china,FTSE China 50 TR NET,FTSE China 50 TR NET,ftse-china-50-tr-net,951247,TFTGPDEU003U,USD,additional_indices,global_indices
china,China A50,FTSE China A50,ftse-china-a50,28930,FTXIN9,CNY,additional_indices,world_indices
china,S&P/CITIC50,S&P/CITIC50,s-p-citic50,28932,SPCITIC50,CNY,additional_indices,world_indices
china,Shanghai SE A Share,Shanghai SE A Share,shanghai-se-a-share,995201,SSEA,CNY,additional_indices,world_indices
china,SSE 100,SSE 100,sse-100,995240,SSE100I,CNY,additional_indices,world_indices
china,S&P/CITIC300,S&P/CITIC300,s-p-citic300,28931,SPCITIC300,CNY,additional_indices,world_indices
china,FTSE China 50 USD,FTSE China 50 USD,ftse-china-50-usd,961131,FTXIN0USD,USD,major_indices,global_indices
china,FTSE China 50 HKD,FTSE China 50 HKD,ftse-china-50-hkd,961130,FXT,HKD,major_indices,global_indices
china,MSCI China Net USD,MSCI China Net USD,msci-china-net-usd,951293,MICN00000NUS,USD,major_indices,global_indices
china,Shanghai,Shanghai Composite,shanghai-composite,40820,SSEC,CNY,major_indices,world_indices
china,SZSE Component,SZSE Component,szse-component,942630,SZI,CNY,major_indices,world_indices
china,TR China 50,Thomson Reuters China 50,thomson-reuters-china-50,941625,TRX50CNP,CNY,additional_indices,global_indices
colombia,FTSE Colombia,FTSE Colombia,ftse-colombia,29043,FTWICOLL,COP,additional_indices,world_indices
colombia,COLEQTY,COLEQTY,coleqty,945499,COLEQTY,COP,additional_indices,world_indices
colombia,COL20,COL20,col20,49643,COL20,COP,additional_indices,world_indices
colombia,COL General,COL General,col-general,49635,IGBC,COP,additional_indices,world_indices
colombia,COLCAP,COLCAP,colcap,49642,COLCAP,COP,major_indices,world_indices
colombia,MSCI Colombia,MSCI Colombia,msci-colombia,942914,MICO00000PUS,USD,major_indices,global_indices
costa rica,Costa Rica Indice Accionario,Costa Rica Indice Accionario,costa-rica-indice-accionario,41169,IACR,CRC,additional_indices,world_indices
croatia,CROBEX,CROBEX,crobex,14774,CRBEX,HRK,major_indices,world_indices
croatia,CROBEX10,CROBEX10,crobex10,14775,CRBEX10,HRK,additional_indices,world_indices
cyprus,DJ Cyprus 10 Titans,Dow Jones Cyprus 10 Titans,dj-cyprus-10-titans,954321,DJCY10,EUR,major_indices,global_indices
cyprus,Cyprus Main and Parallel Market,Cyprus Main and Parallel Market,cyprus-main-and-parallel-market,49752,CYMNPRL,EUR,additional_indices,world_indices
cyprus,Cyprus Alternative Market,Cyprus Alternative Market,cyprus-alternative-market,49755,CYALTRN,EUR,additional_indices,world_indices
cyprus,Cyprus Main Market,Cyprus Main Market,cyprus-main-market,49753,CYMAIN,EUR,major_indices,world_indices
czech republic,PX-GLOB,PX-GLOB,px-glob,945502,PX-GLOB,CZK,additional_indices,world_indices
czech republic,OETOB Czech Traded (USD),OETOB Czech Traded (USD),oetob-czech-traded-(usd),49644,CTXUSD,CZK,additional_indices,world_indices
czech republic,OETOB Czech Traded (EUR),OETOB Czech Traded (EUR),oetob-czech-traded-(eur),49646,CTXEUR,CZK,additional_indices,world_indices
czech republic,OETOB Czech Traded (CZK),OETOB Czech Traded (CZK),oetob-czech-traded-(czk),49645,CTL,CZK,additional_indices,world_indices
czech republic,FTSE Czech Republic,FTSE Czech Republic,ftse-czech-republic,29044,FTWICZHL,CZK,additional_indices,world_indices
czech republic,PX,PX,px,50647,PX,CZK,major_indices,world_indices
czech republic,MSCI Czech Republic,MSCI Czech Republic,msci-czech-republic,942915,MICZ00000PCZ,CZK,major_indices,global_indices
denmark,DJ Denmark USD,Dow Jones Denmark USD,dj-denmark-usd,954627,DKDOWD,USD,major_indices,global_indices
denmark,DJ Denmark,Dow Jones Denmark,dj-denmark,954626,DKDOW,DKK,major_indices,global_indices
denmark,MSCI Denmark,MSCI Denmark,msci-denmark,942909,MIDK00000PDK,DKK,major_indices,global_indices
denmark,OMXC20,OMX Copenhagen 20,omx-copenhagen-20,25760,OMXC20,DKK,major_indices,world_indices
denmark,BNY Mellon Denmark Classic ADR,BNY Mellon Denmark Classic ADR,bny-denmark-classic-adr,956026,BKCDK,USD,additional_indices,global_indices
denmark,OMX Copenhagen All shares,OMX Copenhagen All shares,omx-copenhagen-all-shares,25756,OMXCGI,DKK,additional_indices,world_indices
denmark,OMXC25,OMX Copenhagen 25,omx-copenhagen-25,1073055,OMXC25CAP,DKK,additional_indices,world_indices
denmark,OMX Copenhagen Small Cap,OMX Copenhagen Small Cap,omx-copenhagen-small-cap,25758,OMXCSCPI,DKK,additional_indices,world_indices
denmark,OMX Copenhagen Mid Cap,OMX Copenhagen Mid Cap,omx-copenhagen-mid-cap,25759,OMXCMCPI,DKK,additional_indices,world_indices
denmark,OMX Copenhagen Benchmark,OMX Copenhagen Benchmark,omx-copenhagen-benchmark,25757,OMXCBGI,DKK,additional_indices,world_indices
dubai,DFM General,DFM General,dfmgi,12522,DFMGI,AED,major_indices,world_indices
dubai,ADX General,ADX General,adx-general,941336,ADI,AED,major_indices,world_indices
ecuador,Guayaquil Select,Guayaquil Select,guayaquil-select,41173,BVG,USD,major_indices,world_indices
ecuador,Ecuador General Adj,Ecuador General Adj,ecuador-general-adj,41170,BVQA,USD,additional_indices,world_indices
egypt,EGX 70,EGX 70,egx70,12891,EGX70,EGP,additional_indices,world_indices
egypt,EGX 30 Capped,EGX 30 Capped,egx-20-capped,40525,EGX30CAP,EGP,additional_indices,world_indices
egypt,EGX 30,EGX 30,egx30,12860,EGX30,EGP,major_indices,world_indices
egypt,EGX 100,EGX 100,egx-100,40524,EGX100,EGP,additional_indices,world_indices
egypt,MSCI Egypt,MSCI Egypt,msci-egypt,942917,MIEG00000PEG,EGP,major_indices,global_indices
egypt,DJ EGX Egypt Titans 20 USD,Dow Jones EGX Egypt Titans 20 USD,dj-egx-egypt-titans-20-usd,954348,DJEG20D,USD,additional_indices,global_indices
egypt,DJ EGX Egypt Titans 20 EUR,Dow Jones EGX Egypt Titans 20 EUR,dj-egx-egypt-titans-20-eur,954349,DJEG20E,EUR,additional_indices,global_indices
estonia,DJ Estonia Total Market (EUR),DJ Estonia Total Market (EUR),dj-estonia-total-market-(eur),41121,DWEE,EUR,additional_indices,world_indices
euro zone,MSCI EMU,MSCI EMU,msci-emu,942960,MIEM00000PEU,EUR,additional_indices,global_indices
euro zone,FTSE All World Europe,FTSE All World Europe,ftse-all-world-europe,961200,FTAWEURSR,USD,additional_indices,global_indices
euro zone,BNY Mellon Europe Classic ADR TR,BNY Mellon Europe Classic ADR Total Return,bny-europe-classic-adr-tr,956139,BKCEUT,USD,additional_indices,global_indices
euro zone,BNY Mellon Europe ADR TR,BNY Mellon Europe ADR Total Return,bny-europe-adr-tr,956134,BKEURT,USD,additional_indices,global_indices
euro zone,BNY Mellon Europe Classic ADR,BNY Mellon Europe Classic ADR,bny-europe-classic-adr,956014,BKCEU,USD,additional_indices,global_indices
euro zone,BNY Mellon Europe ADR,BNY Mellon Europe ADR,bny-europe-adr,956008,BKEUR,USD,additional_indices,global_indices
euro zone,The Europe Dow USD,The Europe Dow USD,the-europe-dow-usd,954682,EDOW,USD,additional_indices,global_indices
euro zone,STOXX Europe 600 EUR NR,STOXX Europe 600 EUR NR,stoxx-europe-600-eur-nr,948469,STOXXR,EUR,additional_indices,global_indices
euro zone,MSCI Europe FX Hedge,MSCI Europe FX Hedge,msci-europe-fx-hedge,943113,MIEU00000FUS,USD,additional_indices,global_indices
euro zone,MSCI Europe Standard,MSCI Europe Standard,msci-europe-standard,943004,MIEU00000PEU,EUR,additional_indices,global_indices
euro zone,MSCI Europe Ex Switzerland,MSCI Europe Ex Switzerland,msci-europe-ex-switzerland,942964,MIEUC0000PEU,EUR,additional_indices,global_indices
euro zone,FTSE RAFI Europe NR,FTSE RAFI Europe NR,ftse-rafi-europe,942887,TFTFREUNE,EUR,additional_indices,global_indices
euro zone,MSCI Europe,MSCI Europe,msci-europe,942958,MIEU00000PUS,USD,major_indices,global_indices
euro zone,FTSE Europe,FTSE Europe,ftse-europe,943748,FTFREU,EUR,major_indices,global_indices
euro zone,MSCI Mexico Net USD,MSCI Mexico Net USD,msci-mexico-net-usd,951357,MIMX00000NUS,USD,major_indices,global_indices
euro zone,DJ Europe,Dow Jones Europe,dj-europe,954661,E1DOW,USD,major_indices,global_indices
euro zone,The Europe Dow EUR,The Europe Dow EUR,the-europe-dow-eur,954683,EDOWE,EUR,major_indices,global_indices
euro zone,FTSE4Good Europe 50,FTSE4Good Europe 50,ftse4good-europe-50,961148,FT4GDEU50,EUR,major_indices,global_indices
euro zone,STOXX 600,STOXX 600,stoxx-600?cid=1096538,1096538,STOXX,EUR,major_indices,global_indices
euro zone,MSCI EU,MSCI EU,msci-eu,942950,MIEC00000PEU,EUR,major_indices,global_indices
euro zone,STOXX 600,STOXX 600,stoxx-600,40823,STOXX,EUR,major_indices,global_indices
